"","date","ZIPS"
"732",2020-09-13,6087
"733",2020-09-14,6087
"734",2020-09-15,6087
"735",2020-09-16,6087
"736",2020-09-17,6087
"737",2020-09-18,6087
"738",2020-09-19,6087
"739",2020-09-20,6087
"740",2020-09-21,6087
"741",2020-09-22,6087
"742",2020-08-18,6099
"743",2020-08-19,6099
"744",2020-08-20,6099
"745",2020-08-21,6099
"746",2020-08-22,6099
"747",2020-08-23,6099
"748",2020-08-24,6099
"749",2020-08-25,6099
"750",2020-08-26,6099
"751",2020-08-27,6099
"752",2020-08-28,6099
"753",2020-08-29,6099
"754",2020-08-30,6099
"755",2020-08-31,6099
"756",2020-09-01,6099
"757",2020-09-02,6099
"758",2020-09-03,6099
"759",2020-09-04,6099
"760",2020-09-05,6099
"761",2020-09-06,6099
"762",2020-09-07,6099
"763",2020-09-08,6099
"764",2020-09-09,6099
"765",2020-09-10,6099
"766",2020-09-11,6099
"767",2020-09-12,6099
"768",2020-09-13,6099
"769",2020-09-14,6099
"770",2020-09-15,6099
"771",2020-09-16,6099
"772",2020-09-17,6099
"773",2020-09-18,6099
"774",2020-09-19,6099
"775",2020-09-20,6099
"776",2020-09-21,6099
"777",2020-09-22,6099
"778",2020-09-23,6099
"779",2020-09-24,6099
"780",2020-09-25,6099
"781",2020-09-26,6099
"782",2020-09-27,6099
"783",2020-09-28,6099
"784",2020-09-29,6099
"785",2020-09-30,6099
"786",2020-10-01,6099
"787",2020-08-18,6045
"788",2020-08-19,6045
"789",2020-08-20,6045
"790",2020-08-21,6045
"791",2020-08-18,6045
"792",2020-08-19,6045
"793",2020-08-20,6045
"794",2020-08-21,6045
"795",2020-08-17,6055
"796",2020-08-18,6055
"797",2020-08-19,6055
"798",2020-08-20,6055
"799",2020-08-21,6055
"800",2020-08-22,6055
"801",2020-08-23,6055
"802",2020-08-24,6055
"803",2020-08-25,6055
"804",2020-08-26,6055
"805",2020-08-27,6055
"806",2020-08-28,6055
"807",2020-08-29,6055
"808",2020-08-30,6055
"809",2020-08-31,6055
"810",2020-09-01,6055
"811",2020-09-02,6055
"812",2020-09-03,6055
"813",2020-09-04,6055
"814",2020-09-05,6055
"815",2020-09-06,6055
"816",2020-09-07,6055
"817",2020-09-08,6055
"818",2020-09-09,6055
"819",2020-09-10,6055
"820",2020-09-11,6055
"821",2020-09-12,6055
"822",2020-09-13,6055
"823",2020-09-14,6055
"824",2020-09-15,6055
"825",2020-09-16,6055
"826",2020-09-17,6055
"827",2020-09-18,6055
"828",2020-09-19,6055
"829",2020-09-20,6055
"830",2020-09-21,6055
"831",2020-09-22,6055
"832",2020-09-23,6055
"833",2020-09-24,6055
"834",2020-09-25,6055
"835",2020-09-26,6055
"836",2020-09-27,6055
"837",2020-09-28,6055
"838",2020-09-29,6055
"839",2020-09-30,6055
"840",2020-10-01,6055
"841",2020-10-02,6055
"842",2020-08-19,6103
"843",2020-08-20,6103
"844",2020-08-21,6103
"845",2020-08-22,6103
"846",2020-08-23,6103
"847",2020-08-24,6103
"848",2020-08-25,6103
"849",2020-08-26,6103
"850",2020-08-27,6103
"851",2020-08-28,6103
"852",2020-08-29,6103
"853",2020-08-30,6103
"854",2020-08-31,6103
"855",2020-09-01,6103
"856",2020-09-02,6103
"857",2020-09-03,6103
"858",2020-09-04,6103
"859",2020-09-05,6103
"860",2020-09-06,6103
"861",2020-09-07,6103
"862",2020-09-08,6103
"863",2020-09-09,6103
"864",2020-09-10,6103
"865",2020-09-11,6103
"866",2020-09-12,6103
"867",2020-09-13,6103
"868",2020-09-14,6103
"869",2020-09-15,6103
"870",2020-09-16,6103
"871",2020-09-17,6103
"872",2020-09-18,6103
"873",2020-09-19,6103
"874",2020-09-20,6103
"875",2020-09-21,6103
"876",2020-09-22,6103
"877",2020-09-23,6103
"878",2020-09-24,6103
"879",2020-09-25,6103
"880",2020-09-26,6103
